Input Channel,Input Cable No.,Output Channel,Output Cable No.
CH1,1,-,1
CH2,1,-,1
CH3,1,UHF1,1
CH4,1,VHF1/2,1
CH5,1,UHF2,1
CH6,1,UHF3,1
CH7,1,VHF3/4,1
CH8,1,UHF4,1
CH9,2,-,2
CH10,2,UHF5,2
CH11,2,VHF5/6,2
CH12,2,UHF6,2
CH13,2,UHF7,2
CH14,2,VHF7/8,2
CH15,2,UHF8,2
CH16,2,UHF9,2
CH17,3,VHF9/10,3
CH18,3,UHF10,3
CH19,3,UHF11,3
CH20,3,VHF11/12,3
CH21,3,UHF12,3
CH22,3,UHF13,3
CH23,3,VHF13/14,3
CH24,3,UHF14,3
,,-,4
,,UHF15,4
,,VHF15/16,4
,,UHF16,4
,,UHF17,4
,,VHF17/18,4
,,UHF18,4
,,UHF19,4
,,VHF19/20,5
,,UHF20,5
,,UHF21,5
,,VHF21/22,5
,,UHF22,5
,,UHF23,5
,,VHF23/24,5
,,UHF24,5